timestamp_s,velocity_rad_s,motor_current_a,torque_nm,psu_voltage_v,psu_current_a,commanded_current_a,commanded_voltage_v,test_phase
0.0,5.0,0.0,-0.00072,0.008,0.1016,0.0,24.0,CURRENT_RAMP
0.001,5.0,0.0020004000980407,0.001232,0.008,0.1016,0.0034,24.0,CURRENT_RAMP
0.002,5.0,0.0040008001960814,-0.00302,0.008,0.1016,0.0068,24.0,CURRENT_RAMP
0.003,5.0,0.006001200061291456,0.003842,0.008,0.1016,0.0102,24.0,CURRENT_RAMP
0.004,5.0,0.0080016003921628,0.006762,0.008,0.1016,0.0136,24.0,CURRENT_RAMP
0.005,5.0,0.010002000257372856,0.006135,0.008,0.1016,0.017,24.0,CURRENT_RAMP
0.006,5.0,0.012002400122582912,-0.003059,0.008,0.1016,0.0204,24.0,CURRENT_RAMP
0.007,5.0,0.014002800919115543,0.003651,0.008,0.1016,0.023799999999999998,24.0,CURRENT_RAMP
0.008,5.0,0.0160032007843256,-0.005586,0.008,0.1016,0.0272,24.0,CURRENT_RAMP
0.009,5.0,0.01800360158085823,-0.002442,0.008,0.1016,0.030599999999999995,24.0,CURRENT_RAMP
0.01,5.0,0.020004000514745712,1.4e-05,0.008,0.1016,0.034,24.0,CURRENT_RAMP
0.011,5.0,0.022004401311278343,-0.010525,0.008,0.1016,0.037399999999999996,24.0,CURRENT_RAMP
0.012,5.0,0.024004800245165825,-0.002338,0.008,0.1016,0.0408,24.0,CURRENT_RAMP
0.013,5.0,0.026005201041698456,-0.001995,0.008,0.1016,0.044199999999999996,24.0,CURRENT_RAMP
0.014,5.0,0.028005601838231087,0.003916,0.008,0.1016,0.047599999999999996,24.0,CURRENT_RAMP
0.015,5.0,0.03000600077211857,0.005768,0.008,0.1016,0.051,24.0,CURRENT_RAMP
0.016,5.0,0.0320064015686512,-0.001685,0.008,0.1016,0.0544,24.0,CURRENT_RAMP
0.017,5.0,0.03400680050253868,-0.005792,0.008,0.1016,0.057800000000000004,24.0,CURRENT_RAMP
0.018,5.0,0.03600720316171646,0.000556,0.008,0.1016,0.06119999999999999,24.0,CURRENT_RAMP
0.019,5.0,0.03800760209560394,-0.00267,0.008,0.1016,0.06459999999999999,24.0,CURRENT_RAMP
0.02,5.0,0.040008001029491425,-0.000377,0.008,0.1016,0.068,24.0,CURRENT_RAMP
0.021,5.0,0.042008399963378906,-0.002808,0.008,0.1016,0.0714,24.0,CURRENT_RAMP
0.022,5.0,0.044008802622556686,-0.001663,0.008,0.1016,0.07479999999999999,24.0,CURRENT_RAMP
0.023,5.0,0.04600920155644417,-0.005511,0.008,0.1016,0.07819999999999999,24.0,CURRENT_RAMP
0.024,5.0,0.04800960049033165,-0.007354,0.008,0.1016,0.0816,24.0,CURRENT_RAMP
0.025,5.0,0.05001000314950943,0.001984,0.008,0.1016,0.085,24.0,CURRENT_RAMP
0.026,5.0,0.05201040208339691,-0.000397,0.008,0.1016,0.08839999999999999,24.0,CURRENT_RAMP
0.027,5.0,0.05401080101728439,0.005014,0.008,0.1016,0.09179999999999999,24.0,CURRENT_RAMP
